brand,model,bluray_read_speed,dvd_read_speed,cd_read_speed,bluray_write_speed,dvd_write_speed,cd_write_speed,price
archgon,cb-5021-gb,0.1666666666666666,0.1764705882352941,0.0,6/2/2/2,8/8/6/8/6/6/5,24/4,0.0
archgon,cb-5021-gd,0.1666666666666666,0.1764705882352941,0.0,6/2/2/2,8/8/6/8/6/6/5,24/24,0.0
asus,bc-06b1st,0.1666666666666666,0.6470588235294117,0.9230769230769232,6/4/6/4,8/8/6/8/6/6/5,48/32,0.0
asus,bc-12b1st,0.1666666666666666,0.6470588235294117,0.9230769230769232,6/4/6/4,16/8/8/16/6/8/12,48/24,0.0
asus,bc-12b1st/blk/b/as,0.6666666666666667,0.6470588235294117,0.9230769230769232,6/4/6/4,16/8/8/16/6/8/12,48/24,0.0
asus,bc-12d2ht,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/8/6,16/8/8/6/12/8/5,48/24,0.0
asus,bw-12b1st/blk/g/as,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/4/2/2,16/8/8/16/6/8/12,48/24,0.0
asus,bw-14d1xt,0.6666666666666667,0.6470588235294117,0.9230769230769232,14/12/2/2,16/8/8/16/6/8/5,48/24,0.0
asus,bw-16d1ht,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/8/8/16/6/8/5,48/24,0.0
asus,drw-2014l1t,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,20/8/8/20/6/8/14,48/32,0.0
asus,drw-22b2sb/blk/b/as,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,22/8/12/22/6/12/12,48/32,0.0
asus,drw-22b3s/blk/g/as,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,22/8/12/22/6/12/12,48/24,0.0
asus,drw-24b1st/blk/b/as,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,24/8/12/24/6/12/12,48/32,0.0
asus,drw-24b3lt,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,24/8/12/24/6/12/12,48/24,0.0
asus,drw-24b3lt/blk/g/as,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,24/8/12/24/6/12/12,48/24,0.0
asus,drw-24b3st/blk/g/as,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,24/8/12/24/6/12/12,48/24,0.0
asus,drw-24d3st,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/13/12/16/8/12/5,48/40,0.0
asus,drw-24d5mt,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/13/12/16/8/12/5,48/40,0.0
asus,drw-24f1mt,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,24/8/8/24/6/8/5,48/24,0.0
asus,drw-24f1st,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,24/8/8/24/6/8/5,48/24,0.0
asus,dvd-e818aat/blk/b/ge,0.6666666666666667,0.7647058823529411,0.9230769230769232,16/12/2/2,24/8/8/24/6/8/5,48/24,0.0
asus,dvd-e818aat/blk/b/gen,0.6666666666666667,0.7647058823529411,0.9230769230769232,16/12/2/2,24/8/8/24/6/8/5,48/24,0.0
asus,dvde818a7t/blk/b/gen,0.6666666666666667,0.7647058823529411,0.9230769230769232,16/12/2/2,16/10/8/16/10/8/5,48/24,0.0
buslink,dbw-1647,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/10/8/16/10/8/5,48/32,0.0
evga,100-od-s101-br,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,8/8/6/8/6/6/5,24/24,0.0
gear head,24xdvdintls,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,8/8/6/8/6/6/5,24/24,0.0
hp,447326-b21,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/12/2/2,24/8/12/24/6/12/12,48/32,0.0
hp,447328-b21,0.6666666666666667,0.6470588235294117,1.0,16/12/2/2,24/8/12/24/6/12/12,40/32,0.0
hp,481041-b21,0.6666666666666667,0.1764705882352941,0.0,16/12/2/2,24/8/12/24/6/12/12,40/32,0.0
hp,624192-b21,0.6666666666666667,0.1764705882352941,0.0,16/12/2/2,16/8/8/16/6/8/5,40/24,0.0
hp,652238-b21,0.6666666666666667,0.1764705882352941,0.0,16/12/2/2,16/8/8/16/6/8/5,40/24,0.0
hp,ar629aa,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/8/8/16/6/8/5,40/24,0.0
hp,dvd1265i,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/8/8/16/6/8/5,48/32,0.0
hp,qs208aa,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/8/8/16/6/8/5,48/32,0.0
i/o magic,ibd1,0.4999999999999999,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
i/o magic,idvd22dl,0.4999999999999999,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/16/12,48/32,0.0
i/o magic,idvd24s,0.4999999999999999,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/16/24/1/16/12,48/32,0.0
lg,bh10ls30,0.1666666666666666,0.6470588235294117,0.9230769230769232,10/8/8/6,16/8/8/16/8/8/12,48/24,0.0
lg,bh12ls35,0.1666666666666666,0.6470588235294117,0.9230769230769232,12/12/2/2,16/12/12/16/12/12/12,48/24,0.0
lg,bh12ls38,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/12/2/2,16/8/8/16/6/8/12,48/24,0.0
lg,bh14ns40,0.6666666666666667,0.6470588235294117,0.9230769230769232,14/12/2/2,16/8/8/16/6/8/5,48/24,0.0
lg,bh16ns40,0.6666666666666667,0.6470588235294117,0.9230769230769232,14/12/2/2,16/8/8/16/6/8/5,48/24,0.0
lg,bh16ns55.auar10b,0.6666666666666667,0.6470588235294117,0.6153846153846154,8/8/8/6,16/12/12/16/12/12/5,48/40,0.0
lg,bt30n,0.1666666666666666,0.1764705882352941,0.0,8/8/8/6,8/8/6/8/6/6/5,24/24,0.0
lg,ch10ls20 oem,0.4999999999999999,0.6470588235294117,0.9230769230769232,8/8/8/6,8/8/6/8/6/6/5,48/24,0.0
lg,ch10ls28,0.4999999999999999,0.6470588235294117,0.9230769230769232,8/8/8/6,16/8/8/16/6/8/12,48/24,0.0
lg,ch12ls28,0.4999999999999999,0.6470588235294117,0.9230769230769232,8/8/8/6,16/8/8/16/6/8/12,48/24,0.0
lg,cu20n,0.1666666666666666,0.1764705882352941,0.0,8/8/8/6,8/8/6/8/6/6/5,24/16,0.0
lg,ggc-h20l,0.1666666666666666,0.6470588235294117,0.6153846153846154,8/8/8/6,8/8/6/8/6/6/5,24/16,0.0
lg,gh10n,0.1666666666666666,0.6470588235294117,0.6153846153846154,8/8/8/6,8/8/6/8/6/6/5,24/16,0.0
lg,gh22lp21,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,22/8/16/22/6/12/12,48/32,0.0
lg,gh22np21,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,22/8/16/22/6/12/12,48/32,0.0
lg,gh22ns50 bulk,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,22/8/16/22/6/12/12,48/32,0.0
lg,gh22ns70 oem,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,22/8/8/22/6/8/12,48/32,0.0
lg,gh22ns90b,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,22/8/8/22/6/8/12,48/32,0.0
lg,gh24ls70,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/8/24/6/8/12,48/32,0.0
lg,gh24ns70 oem,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/8/24/6/8/12,48/32,0.0
lg,gh24ns72,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/8/24/6/8/12,48/32,0.0
lg,gh24ns90,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/8/24/6/8/12,48/32,0.0
lg,gh24ns95,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/8/24/6/8/5,48/24,0.0
lg,gh24nsb0,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/8/24/6/8/5,48/24,0.0
lg,gh24nsb0b,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/8/24/6/8/5,48/24,0.0
lg,gh24nsc0,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/8/24/6/8/5,48/24,0.0
lg,gh24nsc0b,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/8/24/6/8/5,48/24,0.0
lg,gh24nsd1,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/16/24/6/12/12,48/32,0.0
lg,gh24nsd5,0.1666666666666666,0.6470588235294117,0.9230769230769232,8/8/8/6,24/8/12/8/6/12/12,48/24,0.0
lg,gs40n,0.1666666666666666,0.1764705882352941,0.0,8/8/8/6,8/8/6/8/6/6/5,24/16,0.0
lg,gt80n,0.1666666666666666,0.1764705882352941,0.0,8/8/8/6,8/8/6/8/6/6/5,24/24,0.0
lg,gtb0n,0.1666666666666666,0.1764705882352941,0.0,8/8/8/6,8/6/6/8/6/6/5,24/24,0.0
lg,gub0n,0.1666666666666666,0.1764705882352941,0.0,8/8/8/6,8/6/6/8/6/6/5,24/24,0.0
lg,uh12ls28 oem,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/8/8/6,16/8/8/16/6/8/12,48/24,0.0
lg,uh12ls29,0.4999999999999999,0.6470588235294117,0.9230769230769232,8/8/8/6,16/8/8/16/6/8/12,48/24,0.0
lg,uh12ns29,0.4999999999999999,0.6470588235294117,0.9230769230769232,8/8/8/6,16/8/8/16/6/8/12,48/24,0.0
lg,uh12ns30,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/8/8/6,16/8/8/16/6/8/5,48/24,0.0
lg,uh12ns40,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/8/8/6,16/8/8/16/6/8/5,48/24,0.0
lg,wh12ls30,0.4999999999999999,0.6470588235294117,0.9230769230769232,12/12/2/2,16/8/8/16/6/8/12,48/24,0.0
lg,wh12ls38,0.4999999999999999,0.6470588235294117,0.9230769230769232,12/12/2/2,16/8/8/16/6/8/12,48/24,0.0
lg,wh12ls39,0.4999999999999999,0.6470588235294117,0.9230769230769232,12/12/2/2,16/8/8/16/6/8/12,48/24,0.0
lg,wh14ns40,0.6666666666666667,0.6470588235294117,0.9230769230769232,14/12/2/2,16/8/8/16/6/8/5,48/24,0.0
lg,wh16ns40,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/8/8/16/6/8/5,48/24,0.0
lg,wh16ns60,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/8/8/16/6/8/5,48/24,0.0
lenovo,0a65618,0.6666666666666667,0.6470588235294117,0.9230769230769232,16/12/2/2,16/12/12/16/12/12/12,48/40,0.0
lenovo,41n5618,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/12/2/2,16/12/12/16/12/12/12,48/40,0.0
lite-on,dc-8a2sh,0.6666666666666667,0.1764705882352941,0.0,16/12/2/2,8/8/6/8/6/6/5,24/24,0.0
lite-on,dh-16afsh,0.6666666666666667,0.1764705882352941,0.0,16/12/2/2,8/8/6/8/6/6/5,48/24,0.0
lite-on,dh-4o1s-11,0.0,0.4117647058823528,0.3076923076923077,16/12/2/2,8/8/6/8/6/6/5,48/24,0.0
lite-on,dl-8a4sh-01,0.0,0.1764705882352941,0.0,16/12/2/2,8/8/6/8/6/6/5,24/24,0.0
lite-on,ds-8a5s,0.0,0.1764705882352941,0.0,16/12/2/2,8/8/6/8/6/6/5,24/24,0.0
lite-on,ds-8a8sh,0.0,0.1764705882352941,0.0,16/12/2/2,8/8/6/8/6/6/5,24/24,0.0
lite-on,ds-8a9sh-01,0.0,0.1764705882352941,0.0,16/12/2/2,8/8/6/8/6/6/5,24/24,0.0
lite-on,ds-8absh-01,0.0,0.1764705882352941,0.0,16/12/2/2,8/8/6/8/6/6/5,24/24,0.0
lite-on,ihas324-07,0.0,0.6470588235294117,0.9230769230769232,16/12/2/2,8/8/6/8/6/6/5,48/32,0.0
lite-on,ihas324-98,0.0,0.6470588235294117,0.9230769230769232,16/12/2/2,8/8/6/8/6/6/5,48/32,0.0
lite-on,ihbs112-04,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/48,0.0
lite-on,ihbs112-29,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihbs312-98,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihes312-98,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihap322-98,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/32,0.0
lite-on,sohw-832s,0.6666666666666667,0.4117647058823528,0.6153846153846154,12/8/2/2,16/8/8/16/6/8/12,40/24,0.0
lite-on,ihap122-04,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/32,0.0
lite-on,ihap222-06,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/32,0.0
lite-on,ihap422-98,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/32,0.0
lite-on,ihas-324-98b,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/32,0.0
lite-on,ihas124-04,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/32,0.0
lite-on,ihas224-06,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihas324-99,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihas424-98,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihas524-06,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihas524-t98a,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
lite-on,ihbs212-08,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihdp118-04,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihdp118-08,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihds118-04,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihes112-29,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihes208-08,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/48,0.0
lite-on,ihes212-08,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihos104-06,0.0,0.1764705882352941,0.3076923076923077,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihos104-08,0.0,0.1764705882352941,0.3076923076923077,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
lite-on,ihas524-t06,0.0,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/12/24/6/12/12,48/32,0.0
msi,dh-18d4p,0.6666666666666667,0.7647058823529411,0.9230769230769232,8/4/8/4,16/8/8/16/6/8/12,48/24,0.0
msi,dh-18d5s,0.6666666666666667,0.7647058823529411,0.9230769230769232,8/4/8/4,16/8/8/16/6/8/12,48/24,0.0
msi,dh-22ap,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,16/8/8/16/6/8/12,48/32,0.0
msi,dh-24aas-17 r,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
msi,dh-24as,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
msi,dh-24as u88,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
memorex,98240-kit,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
memorex,mrx-550l,0.6666666666666667,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/32,0.0
ocuk,cd-004-ok,0.3333333333333333,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/12/24/6/12/12,48/24,0.0
ocuk,cd-005-ok,0.4999999999999999,0.6470588235294117,0.6153846153846154,8/4/8/4,16/8/8/12/8/8/12,48/40,0.0
ocuk,ocuksatadvdrw,0.4999999999999999,0.6470588235294117,0.6153846153846154,8/4/8/4,16/8/8/12/8/8/12,48/40,0.0
ocuk,ihas124-14,0.4999999999999999,0.6470588235294117,0.9230769230769232,8/4/8/4,24/8/8/24/6/8/5,48/24,0.0
panasonic,uj-265,0.1666666666666666,0.1764705882352941,0.0,8/4/8/4,24/8/8/24/6/8/5,24/16,0.0
pioneer,bdc-207dbk,0.3333333333333333,0.6470588235294117,0.6153846153846154,8/4/8/4,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-206dbks,0.3333333333333333,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-206mbk,0.1666666666666666,0.1764705882352941,0.0,6/6/2/2,16/8/8/16/6/8/5,24/24,0.0
pioneer,bdr-207,0.4999999999999999,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-207dbks,0.4999999999999999,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-207mbk,0.4999999999999999,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-208dbk,0.6666666666666667,0.6470588235294117,0.6153846153846154,15/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-209dbk,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-211ebk,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-211ubk,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-212dbk,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-212ebk,1.0,0.6470588235294117,0.6153846153846154,16/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-2206,0.3333333333333333,0.4117647058823528,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-2207,0.4999999999999999,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-2208,0.6666666666666667,0.6470588235294117,0.6153846153846154,15/14/2/2,16/8/8/16/6/8/5,40/24,0.0
pioneer,bdr-2209,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/6/8/16/6/8/5,40/24,0.0
pioneer,bdr-s08xlt,0.6666666666666667,0.6470588235294117,0.6153846153846154,16/14/2/2,16/6/8/16/6/8/5,40/24,0.0
pioneer,bdr-s09xlt,0.6666666666666667,0.0,0.6153846153846154,12/8/10/6,16/12/12/16/12/12/5,40/24,0.0
pioneer,dvr-118lbk,0.6666666666666667,1.0,0.6153846153846154,12/8/10/6,22/8/12/22/6/12/12,40/32,0.0
pioneer,dvr-216d,0.6666666666666667,0.6470588235294117,0.6153846153846154,12/8/10/6,22/8/12/22/6/12/12,40/32,0.0
plextor,px-891sa-26,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/10/6,24/8/12/24/6/12/12,48/32,0.0
plextor,px-891sa-28,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/10/6,24/8/12/24/6/12/12,48/32,0.0
plextor,px-891saf,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/10/6,24/8/12/24/6/12/12,48/32,0.0
plextor,px-b320sa sw,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/10/6,16/8/8/16/6/8/12,48/32,0.0
plextor,px-b940sa-11,0.3333333333333333,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
plextor,px-l871a,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/12/2/2,22/8/12/22/6/12/12,48/24,0.0
plextor,px-l890sa,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/12/2/2,24/8/12/24/6/12/12,48/24,0.0
plextor,px-l890sa r,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/12/2/2,24/8/12/24/6/12/12,48/24,0.0
plextor,px-lb950sa,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
samsung,sh-118bb,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
samsung,sh-118cb/bebe,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
samsung,sh-216db,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/5,48/24,0.0
samsung,sh-222ab,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222al,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222al/bsbe,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222al/bsbs,0.3333333333333333,1.0,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222al/rsbs,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222bb/bebe,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/24,0.0
samsung,sh-222bb/rsbs,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/24,0.0
samsung,sh-224bb,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/24,0.0
samsung,sh-224bb/rsbs,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/24,0.0
samsung,sh-224db/bebe,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/24,0.0
samsung,sh-224db/rsbs,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/5,48/24,0.0
